sigle,groupe,annee,source,bilan,emploi,ressources,fonds_propres,effectif,agences,pnb,resultat_net,charges_exploit,rbe,cout_risque,interets_produits,interets_charges,roa,coeff_exploit,taux_transfo,solvabilite,liquidite,score_global,classement
BHS,Locaux,2022,BCEAO_2022,563706.0,,404621.0,,,,11406.0,4436.0,6362.0,,,,,0.79,,,,,,
BICIS,Internationaux,2022,BCEAO_2022,661374.0,,563492.0,,,,34115.0,4956.0,21742.0,,,,,0.75,,,,,,
BIMAO,Locaux,2022,BCEAO_2022,64564.0,,11532.0,,,,,1995.0,,,,,,3.09,,,,,,
BIS,Locaux,2022,BCEAO_2022,732900.0,,504514.0,,,,,8523.0,,,,,,1.16,,,,,,
BNDE,Locaux,2022,BCEAO_2022,398493.0,,60499.0,,,,,2793.0,,,,,,0.7,,,,,,
BOA,Continentaux,2022,BCEAO_2022,696306.0,,546022.0,,,,40503.0,15581.0,16260.0,,,,,2.24,,,,,,
BRM,Locaux,2022,BCEAO_2022,159170.0,,72750.0,,,,,6718.0,,,,,,4.22,,,,,,
BSIC,Continentaux,2022,BCEAO_2022,208190.0,,137657.0,,,,,2029.0,,,,,,0.97,,,,,,
CBAO,Continentaux,2022,BCEAO_2022,1338258.0,,1102891.0,,,,93894.0,34375.0,41244.0,,,,,2.57,,,,,,
CBI,Regionaux,2022,BCEAO_2022,599112.0,,339302.0,,,,,3609.0,,,,,,0.6,,,,,,
CDS,Continentaux,2022,BCEAO_2022,285111.0,,182680.0,,,,15869.0,6766.0,6675.0,,,,,2.37,,,,,,
CI,Locaux,2022,BCEAO_2022,57716.0,,38258.0,,,,,,,,,,,,,,,,,
CITIBANK,Internationaux,2022,BCEAO_2022,277384.0,,237285.0,,,,,6957.0,,,,,,2.51,,,,,,
ECOBANK,Continentaux,2022,BCEAO_2022,963980.0,,543241.0,,,,53121.0,18578.0,26697.0,,,,,1.93,,,,,,
FBNBANK,Internationaux,2022,BCEAO_2022,307974.0,,251111.0,,,,,2129.0,,,,,,0.69,,,,,,
LBA,Locaux,2022,BCEAO_2022,395988.0,,296149.0,,,,20186.0,4754.0,13155.0,,,,,1.2,,,,,,
NSIA BANQUE,Continentaux,2022,BCEAO_2022,510842.0,,336882.0,,,,16655.0,3991.0,10292.0,,,,,0.78,,,,,,
ORABANK,Continentaux,2022,BCEAO_2022,835187.0,,626552.0,,,,,7217.0,,,,,,0.86,,,,,,
SGBS,Internationaux,2022,BCEAO_2022,1336404.0,,1057130.0,,,,78444.0,14902.0,47119.0,,,,,1.12,,,,,,
UBA,Internationaux,2022,BCEAO_2022,452145.0,,256812.0,,,,20111.0,5645.0,9561.0,,,,,1.25,,,,,,
