sigle,groupe,annee,source,bilan,emploi,ressources,fonds_propres,effectif,agences,pnb,resultat_net,charges_exploit,rbe,cout_risque,interets_produits,interets_charges,roa,coeff_exploit,taux_transfo,solvabilite,liquidite,score_global,classement
BOA,Groupes Continentaux,2018,BASE_SENEGAL2,449937.0,241382.0,290746.0,38335.0,330.0,59.0,24948.0,8509.0,14205.0,8837.0,-315.0,27869.0,13045.0,1.89,56.94,83.02,8.52,64.62,45.0,5.0
BRM,Groupes Règionaux,2018,BASE_SENEGAL2,408297.0,234245.0,152373.0,,144.0,2.0,,,,,,,,,,153.73,,37.32,19.7,22.0
BSIC,Groupes Règionaux,2018,BASE_SENEGAL2,122869.0,46202.0,52792.0,5878.0,156.0,14.0,4695.0,-5193.0,4693.0,-654.0,4534.0,6417.0,3981.0,-4.23,99.96,87.52,4.78,42.97,16.4,24.0
CBAO,Groupes Continentaux,2018,BASE_SENEGAL2,961930.0,658655.0,779970.0,101402.0,1013.0,87.0,70007.0,23385.0,34777.0,33133.0,1291.0,58634.0,10141.0,2.43,49.68,84.45,10.54,81.08,75.4,1.0
CBI,Groupes Règionaux,2018,BASE_SENEGAL2,81875.0,46617.0,30773.0,10500.0,36.0,2.0,0.0,0.0,,0.0,,,,0.0,,151.49,12.82,37.59,26.3,19.0
CDS,Groupes Règionaux,2018,BASE_SENEGAL2,204668.0,114166.0,147050.0,23614.0,131.0,8.0,11021.0,3512.0,5428.0,5025.0,631.0,9713.0,2018.0,1.72,49.25,77.64,11.54,71.85,33.6,10.0
CISA,Groupes Internationaux,2018,BASE_SENEGAL2,65335.0,28131.0,147050.0,12474.0,58.0,2.0,2941.0,578.0,1990.0,673.0,90.0,4036.0,1848.0,0.88,67.66,19.13,19.09,,28.0,18.0
CITIBANK,Groupes Continentaux,2018,BASE_SENEGAL2,107725.0,57060.0,75695.0,18151.0,29.0,1.0,7661.0,1431.0,3865.0,3694.0,1670.0,3416.0,130.0,1.33,50.45,75.38,16.85,70.27,35.4,8.0
ECOBANK,Groupes Continentaux,2018,BASE_SENEGAL2,701430.0,316950.0,473130.0,41939.0,423.0,34.0,42448.0,13118.0,24600.0,15506.0,2284.0,21763.0,11140.0,1.87,57.95,66.99,5.98,67.45,53.3,3.0
FBNBANK,Groupes Continentaux,2018,BASE_SENEGAL2,35518.0,6701.0,18146.0,10714.0,94.0,3.0,2475.0,89.0,2347.0,-141.0,-234.0,1905.0,631.0,0.25,94.83,36.93,30.16,51.09,30.5,14.0
LBA,Groupes Locaux,2018,BASE_SENEGAL2,296545.0,270577.0,206661.0,30284.0,351.0,37.0,18579.0,2239.0,11077.0,6412.0,3048.0,14026.0,4720.0,0.76,59.62,130.93,10.21,69.69,33.7,9.0
LBO,Groupes Locaux,2018,BASE_SENEGAL2,15273.0,84.0,1879.0,12324.0,36.0,1.0,652.0,-1225.0,1730.0,-1222.0,,647.0,6.0,-8.02,265.34,4.47,80.69,12.3,25.0,20.0
NSIA BANQUE,Groupes Règionaux,2018,BASE_SENEGAL2,226494.0,136428.0,164073.0,11937.0,125.0,10.0,9483.0,2462.0,5912.0,2886.0,419.0,11864.0,5817.0,1.09,62.34,83.15,5.27,72.44,29.7,17.0
ORABANK,Groupes Continentaux,2018,BASE_SENEGAL2,212203.0,126800.0,154036.0,12117.0,116.0,10.0,11398.0,1918.0,7247.0,3705.0,1099.0,11707.0,6411.0,0.9,63.58,82.32,5.71,72.59,30.1,15.0
SGBS,Groupes Internationaux,2018,BASE_SENEGAL2,930330.0,604658.0,771250.0,77976.0,858.0,39.0,73502.0,17715.0,40646.0,30399.0,7728.0,44160.0,12184.0,1.9,55.3,78.4,8.38,82.9,70.9,2.0
UBA,Groupes Continentaux,2018,BASE_SENEGAL2,352079.0,130247.0,191386.0,32945.0,163.0,10.0,16704.0,4374.0,10177.0,6133.0,443.0,9713.0,4386.0,1.24,60.93,68.05,9.36,54.36,35.6,7.0
BAS,Groupes Continentaux,2019,BASE_SENEGAL2,372383.0,247812.0,189126.0,30994.0,236.0,21.0,17404.0,4733.0,11665.0,4934.0,199.0,19823.0,8783.0,1.27,67.02,131.03,8.32,50.79,33.3,11.0
BCIM,Groupes Règionaux,2019,BASE_SENEGAL2,25730.0,9911.0,18088.0,5502.0,25.0,2.0,1632.0,-38.0,1186.0,78.0,116.0,2021.0,764.0,-0.15,72.67,54.79,21.38,70.3,29.9,16.0
BDK,Groupes Règionaux,2019,BASE_SENEGAL2,170663.0,99558.0,98657.0,23242.0,115.0,7.0,10281.0,2339.0,6809.0,3006.0,673.0,12840.0,5447.0,1.37,66.23,100.91,13.62,57.81,31.6,13.0
BGFI,Groupes Règionaux,2019,BASE_SENEGAL2,87985.0,53944.0,59855.0,3530.0,63.0,2.0,2521.0,-6133.0,4415.0,-2397.0,3731.0,4834.0,3689.0,-6.97,175.13,90.12,4.01,68.03,16.8,23.0
BHS,Groupes Locaux,2019,BASE_SENEGAL2,427050.0,338146.0,272043.0,,289.0,22.0,,,,,,,,,,124.3,,63.7,23.2,21.0
BICIS,Groupes Internationaux,2019,BASE_SENEGAL2,499528.0,346428.0,385663.0,55884.0,483.0,33.0,36341.0,8544.0,20104.0,14327.0,2247.0,28170.0,5365.0,1.71,55.32,89.83,11.19,77.21,47.7,4.0
BIS,Groupes Règionaux,2019,BASE_SENEGAL2,369275.0,292192.0,280335.0,43767.0,206.0,28.0,18902.0,6226.0,9979.0,8195.0,-166.0,19609.0,9953.0,1.69,52.79,104.23,11.85,75.91,38.8,6.0
BNDE,Groupes Locaux,2019,BASE_SENEGAL2,216335.0,91839.0,111204.0,33681.0,182.0,13.0,10786.0,2817.0,6400.0,3598.0,495.0,11290.0,3947.0,1.3,59.34,82.59,15.57,51.4,31.9,12.0
BOA,Groupes Continentaux,2019,BASE_SENEGAL2,534863.0,267184.0,342478.0,43184.0,347.0,60.0,30102.0,9115.0,15832.0,12365.0,2244.0,30522.0,12863.0,1.7,52.59,78.01,8.07,64.03,45.0,5.0
BRM,Groupes Règionaux,2019,BASE_SENEGAL2,353164.0,250305.0,127355.0,,118.0,4.0,,,,,,,,,,196.54,,36.06,19.7,22.0
BSIC,Groupes Règionaux,2019,BASE_SENEGAL2,120203.0,48202.0,62521.0,4230.0,154.0,14.0,4325.0,-1648.0,4787.0,-1092.0,706.0,6489.0,3723.0,-1.37,110.68,77.1,3.52,52.01,16.4,24.0
CBAO,Groupes Continentaux,2019,BASE_SENEGAL2,1033330.0,700259.0,866397.0,109639.0,1037.0,88.0,77319.0,26102.0,36936.0,38199.0,2803.0,62334.0,10813.0,2.53,47.77,80.82,10.61,83.85,75.4,1.0
CBI,Groupes Règionaux,2019,BASE_SENEGAL2,185634.0,130097.0,128012.0,23078.0,53.0,5.0,8449.0,3078.0,3409.0,4746.0,476.0,6206.0,1625.0,1.66,40.35,101.63,12.43,68.96,26.3,19.0
CDS,Groupes Règionaux,2019,BASE_SENEGAL2,230294.0,127188.0,164921.0,27073.0,143.0,8.0,12857.0,5208.0,6032.0,6242.0,-396.0,11873.0,2480.0,2.26,46.92,77.12,11.76,71.61,33.6,10.0
CISA,Groupes Internationaux,2019,BASE_SENEGAL2,57663.0,24122.0,35645.0,13166.0,52.0,2.0,2813.0,885.0,1609.0,972.0,82.0,3759.0,1702.0,1.53,57.2,67.67,22.83,61.82,28.0,18.0
CITIBANK,Groupes Continentaux,2019,BASE_SENEGAL2,114862.0,55997.0,83403.0,21350.0,29.0,1.0,9828.0,4415.0,4974.0,4735.0,-1587.0,3607.0,210.0,3.84,50.61,67.14,18.59,72.61,35.4,8.0
ECOBANK,Groupes Continentaux,2019,BASE_SENEGAL2,654760.0,319764.0,526114.0,43391.0,411.0,34.0,39482.0,8036.0,27884.0,9313.0,1299.0,24872.0,15526.0,1.23,70.62,60.78,6.63,80.35,53.3,3.0
FBNBANK,Groupes Continentaux,2019,BASE_SENEGAL2,29930.0,6338.0,17386.0,10909.0,107.0,3.0,3044.0,193.0,2715.0,122.0,-76.0,2167.0,607.0,0.64,89.19,36.45,36.45,58.09,30.5,14.0
